month_num,day,year,location,mean,max,min,date,month
1,1,2021,KRDD,46.841,51.98,39.02,2021-01-01,January
1,2,2021,KRDD,47.775,50,46.04,2021-01-02,January
1,3,2021,KRDD,48.159,50,46.04,2021-01-03,January
1,4,2021,KRDD,49.139,57.02,37.94,2021-01-04,January
1,5,2021,KRDD,46.318,57.92,35.06,2021-01-05,January
1,6,2021,KRDD,41.51,46.94,37.04,2021-01-06,January
1,7,2021,KRDD,44.218,55.94,33.08,2021-01-07,January
1,8,2021,KRDD,46.415,55.04,39.02,2021-01-08,January
1,9,2021,KRDD,48.185,62.06,33.98,2021-01-09,January
1,10,2021,KRDD,44.93,53.96,35.96,2021-01-10,January
1,11,2021,KRDD,44.87,57.02,33.08,2021-01-11,January
1,12,2021,KRDD,47.848,50,44.96,2021-01-12,January
1,13,2021,KRDD,52.73,60.08,46.04,2021-01-13,January
1,14,2021,KRDD,55.305,71.96,39.02,2021-01-14,January
1,15,2021,KRDD,51.524,59,44.06,2021-01-15,January
1,16,2021,KRDD,60.043,75.02,42.08,2021-01-16,January
1,17,2021,KRDD,67.918,75.92,60.98,2021-01-17,January
1,18,2021,KRDD,62.96,69.98,53.96,2021-01-18,January
1,19,2021,KRDD,56.54,64.94,50,2021-01-19,January
1,20,2021,KRDD,49.625,66.92,33.08,2021-01-20,January
1,21,2021,KRDD,46.123,57.02,35.06,2021-01-21,January
1,22,2021,KRDD,47.218,53.06,42.08,2021-01-22,January
1,23,2021,KRDD,47.39,60.98,33.98,2021-01-23,January
1,24,2021,KRDD,39.103,46.04,30.02,2021-01-24,January
1,25,2021,KRDD,42.597,51.98,30.92,2021-01-25,January
1,26,2021,KRDD,33.883,42.08,24.98,2021-01-26,January
1,27,2021,KRDD,42.215,48.92,33.08,2021-01-27,January
1,28,2021,KRDD,42.59,44.96,39.92,2021-01-28,January
1,29,2021,KRDD,44.128,48.02,39.92,2021-01-29,January
1,30,2021,KRDD,47.42,51.08,44.06,2021-01-30,January
1,31,2021,KRDD,47.953,53.96,44.96,2021-01-31,January
2,1,2021,KRDD,50.368,57.92,44.06,2021-02-01,February
2,2,2021,KRDD,49.985,55.94,37.94,2021-02-02,February
2,3,2021,KRDD,45.17,53.96,37.04,2021-02-03,February
2,4,2021,KRDD,52.265,62.96,42.98,2021-02-04,February
2,5,2021,KRDD,56.683,71.96,42.08,2021-02-05,February
2,6,2021,KRDD,56.675,75.92,41,2021-02-06,February
2,7,2021,KRDD,51.41,71.96,33.98,2021-02-07,February
2,8,2021,KRDD,49.663,62.06,35.96,2021-02-08,February
2,9,2021,KRDD,51.575,64.04,41,2021-02-09,February
2,10,2021,KRDD,51.53,66.02,37.94,2021-02-10,February
2,11,2021,KRDD,48.785,51.08,44.96,2021-02-11,February
2,12,2021,KRDD,50.54,57.92,42.98,2021-02-12,February
2,13,2021,KRDD,49.9,51.08,48.02,2021-02-13,February
2,24,2021,KRDD,56.075,60.98,51.98,2021-02-24,February
2,25,2021,KRDD,56.24,69.98,44.06,2021-02-25,February
2,26,2021,KRDD,49.955,64.04,33.98,2021-02-26,February
2,27,2021,KRDD,49.01,64.04,33.08,2021-02-27,February
2,28,2021,KRDD,56.285,71.06,44.96,2021-02-28,February
3,1,2021,KRDD,50.233,64.94,33.98,2021-03-01,March
3,2,2021,KRDD,53.255,73.04,35.06,2021-03-02,March
3,3,2021,KRDD,54.187,73.04,33.08,2021-03-03,March
3,4,2021,KRDD,52.168,64.04,39.92,2021-03-04,March
3,5,2021,KRDD,52.73,66.92,35.06,2021-03-05,March
3,6,2021,KRDD,49.153,57.92,41,2021-03-06,March
3,7,2021,KRDD,49.961,62.06,39.02,2021-03-07,March
3,8,2021,KRDD,47.428,53.06,42.08,2021-03-08,March
3,9,2021,KRDD,45.92,53.96,39.92,2021-03-09,March
3,10,2021,KRDD,41.773,48.02,37.94,2021-03-10,March
3,11,2021,KRDD,49.033,62.96,35.06,2021-03-11,March
3,12,2021,KRDD,56.87,69.98,42.98,2021-03-12,March
3,13,2021,KRDD,50.87,66.02,35.96,2021-03-13,March
3,14,2021,KRDD,45.477,50,41,2021-03-14,March
3,15,2021,KRDD,44.788,53.96,37.94,2021-03-15,March
3,16,2021,KRDD,48.635,57.02,42.98,2021-03-16,March
3,17,2021,KRDD,50.608,59,42.98,2021-03-17,March
3,18,2021,KRDD,49.183,51.98,46.94,2021-03-18,March
3,19,2021,KRDD,52.05,57.92,48.02,2021-03-19,March
3,20,2021,KRDD,48.943,59,37.04,2021-03-20,March
3,21,2021,KRDD,53.533,66.92,41,2021-03-21,March
3,22,2021,KRDD,55.987,66.92,46.94,2021-03-22,March
3,23,2021,KRDD,55.46,66.02,46.04,2021-03-23,March
3,24,2021,KRDD,58.963,69.08,46.94,2021-03-24,March
3,25,2021,KRDD,56.495,64.94,44.06,2021-03-25,March
3,26,2021,KRDD,59.3,75.02,46.04,2021-03-26,March
3,27,2021,KRDD,62.84,78.08,46.04,2021-03-27,March
3,28,2021,KRDD,60.673,75.02,42.98,2021-03-28,March
3,29,2021,KRDD,60.563,69.08,50,2021-03-29,March
3,30,2021,KRDD,62.008,75.02,51.98,2021-03-30,March
3,31,2021,KRDD,67.018,80.06,53.96,2021-03-31,March
4,1,2021,KRDD,61.543,78.98,42.98,2021-04-01,April
4,2,2021,KRDD,61.873,77,44.06,2021-04-02,April
4,3,2021,KRDD,59.255,75.02,42.08,2021-04-03,April
