period_or_week,surveydate,survey_id,river,river_mile,section,species,run,count,clip,sex,forklength,disposition,condition,spawn,disctag,floytag,cwt_tag,comments_othermarks,sample_id,sample_type,head_id,scale_id,tissue_id,otolith_id,year
1,2017-05-02,3,USRB,295,3,Chinook,Winter,1,No Clip,F,740,Not Chopped,Fresh,Unspawned,3985,NA,NA,NA,7001,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
2,2017-05-06,16,USRB,299,1,Chinook,Winter,1,No Clip,F,770,Not Chopped,Fresh,Spawned,5644,NA,NA,NA,7002,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
6,2017-05-16,41,USRB,280,4,Chinook,Winter,1,No Clip,M,900,Chopped,Fresh,Spawned,NA,NA,NA,Otter eaten chop,5001,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
7,2017-05-19,50,USRB,279,4,Chinook,Winter,1,Unknown,M,900,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5002,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
7,2017-05-21,56,USRB,301,1,Chinook,Winter,1,Clipped,M,850,Chopped,Non-Fresh,Spawned,NA,NA,NA,head all eaten away; no head taken,5004,Tissue,NA,NA,NA,NA,2017
10,2017-05-30,79,USRB,300,1,Chinook,Winter,1,No Clip,M,820,Not Chopped,Non-Fresh,Spawned,3484,NA,NA,NO-NTD; opercle tissue,5006,Tissue-Otolith,NA,NA,NA,NA,2017
11,2017-06-01,84,USRB,294,3,Chinook,Winter,1,Clipped,M,610,Chopped,Non-Fresh,Spawned,NA,NA,NA,NA,5005,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
11,2017-06-02,88,USRB,301,1,Chinook,Winter,1,No Clip,M,NA,Chopped,Fresh,Unknown,NA,NA,NA,per AH Male chop-fresh otter kill-had fin; T-wanded,NA,None,NA,NA,NA,NA,2017
11,2017-06-02,86,USRB,296,2,Chinook,Winter,1,Clipped,F,722,Not Chopped,Non-Fresh,Unspawned,3073,NA,NA,NA,5008,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
11,2017-06-02,86,USRB,296,2,Chinook,Winter,1,Clipped,F,766,Not Chopped,Fresh,Spawned,3072,NA,NA,NA,5007,Tissue-Head-Scale-Otolith,NA,NA,NA,NA,2017
12,2017-06-03,89,USRB,281,4,Chinook,Winter,1,No Clip,M,930,Not Chopped,Fresh,Spawned,5667,NA,NA,NA,7003,Tissue-Scale-Otolith,NA,NA,NA,NA,2017
