Date,Cumulative Raw Tisdale Weir RST,Cumulative Raw Knights Landing RST,Cumulative Raw Lower Feather RST,Cumulative Raw Lower Sacramento RST,Cumulative Raw Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Samples Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Cumulative Raw Sacramento Trawls (SR055M SR055E SR055W SR055X),Samples Sacramento Trawls (SR055M SR055E SR055W SR055X),Cumulative Raw Chipps Island Trawls (SB018M SB018N SB018S SB018X),Samples Chipps Island Trawls (SB018M SB018N SB018S SB018X),Red Bluff Diversion Dam Daily Estimates
2021-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-01,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA
2021-07-02,NA,NA,NA,NA,NA,NA,NA,NA,0,8,44
2021-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
2021-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-06,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA
2021-07-07,NA,NA,NA,NA,0,5,0,10,NA,NA,192
2021-07-08,NA,NA,NA,NA,NA,NA,0,3,0,10,235
2021-07-09,NA,NA,NA,NA,NA,NA,0,4,0,10,278
2021-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321
2021-07-12,NA,NA,NA,NA,NA,NA,0,10,0,11,453
2021-07-13,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA
2021-07-14,NA,NA,NA,NA,NA,NA,0,10,0,7,495
2021-07-15,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
2021-07-16,NA,NA,NA,NA,NA,NA,0,10,0,10,542
2021-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717
2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-19,NA,NA,NA,NA,NA,NA,0,10,0,10,842
2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982
2021-07-21,NA,NA,NA,NA,NA,NA,0,10,0,10,1069
2021-07-22,NA,NA,NA,NA,0,4,NA,NA,NA,NA,1112
2021-07-23,NA,NA,NA,NA,NA,NA,0,10,0,10,1280
2021-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1560
2021-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
2021-07-26,NA,NA,NA,NA,NA,NA,0,10,0,10,2316
2021-07-27,NA,NA,NA,NA,0,2,NA,NA,NA,NA,2828
2021-07-28,NA,NA,NA,NA,NA,NA,0,10,0,10,3263
2021-07-29,NA,NA,NA,NA,0,3,NA,NA,NA,NA,3748
2021-07-30,NA,NA,NA,NA,NA,NA,0,10,0,10,4262
2021-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4473
2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4753
2021-08-02,NA,NA,NA,NA,0,1,0,10,0,11,4994
2021-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5505
2021-08-04,NA,NA,NA,NA,NA,NA,0,10,0,10,6545
2021-08-05,NA,NA,NA,NA,0,3,NA,NA,NA,NA,7276
2021-08-06,NA,NA,NA,NA,NA,NA,0,10,0,8,7745
2021-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8228
2021-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8598
2021-08-09,NA,NA,NA,NA,NA,NA,0,10,0,10,9838
2021-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10640
2021-08-11,NA,NA,NA,NA,0,2,0,10,0,10,12545
2021-08-12,NA,NA,NA,NA,0,2,0,10,NA,NA,13777
2021-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14933
2021-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16175
2021-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17068
2021-08-16,NA,NA,NA,NA,NA,NA,0,10,0,10,17804
2021-08-17,NA,NA,NA,NA,0,2,NA,NA,NA,NA,18554
2021-08-18,NA,NA,NA,NA,NA,NA,NA,NA,0,8,19513
2021-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20824
2021-08-20,NA,NA,NA,NA,NA,NA,0,1,0,10,21775
2021-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22884
2021-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23814
2021-08-23,NA,NA,NA,NA,NA,NA,0,10,0,9,24638
2021-08-24,NA,NA,NA,NA,0,1,NA,NA,NA,NA,25826
2021-08-25,NA,NA,NA,NA,NA,NA,0,10,NA,NA,27122
2021-08-26,NA,NA,NA,NA,0,1,NA,NA,NA,NA,27873
2021-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29120
2021-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30284
2021-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31173
2021-08-30,NA,NA,NA,NA,NA,NA,0,10,NA,NA,33317
2021-08-31,NA,NA,NA,NA,0,2,NA,NA,NA,NA,35725
2021-09-01,NA,NA,NA,NA,NA,NA,0,10,NA,NA,39790
2021-09-02,0,NA,NA,NA,0,3,NA,NA,NA,NA,42302
2021-09-03,0,NA,NA,NA,NA,NA,0,8,NA,NA,45633
2021-09-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,49478
2021-09-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54288
2021-09-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,59339
2021-09-07,0,NA,NA,NA,NA,NA,0,10,NA,NA,67441
2021-09-08,0,NA,NA,NA,0,5,0,10,NA,NA,75599
2021-09-09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,84075
2021-09-10,0,NA,NA,NA,NA,NA,0,10,NA,NA,90036
2021-09-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,99686
2021-09-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,107987
2021-09-13,1,NA,NA,NA,NA,NA,0,10,NA,NA,117891
2021-09-14,1,NA,NA,NA,0,3,NA,NA,NA,NA,128103
2021-09-15,1,NA,NA,NA,0,2,0,10,NA,NA,134977
2021-09-16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,142292
2021-09-17,2,NA,NA,NA,NA,NA,0,10,NA,NA,149120
2021-09-18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,156473
2021-09-19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,163333
2021-09-20,2,NA,NA,NA,NA,NA,0,10,NA,NA,170693
2021-09-21,2,NA,NA,NA,0,3,NA,NA,0,5,178975
2021-09-22,3,NA,NA,NA,0,1,0,10,0,10,187881
2021-09-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,199013
2021-09-24,5,NA,NA,NA,NA,NA,0,10,0,10,210156
