date,Survey,Catch,separate
2021-06-18,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-18,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-18,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-18,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-18,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-18,Sac Trawls,0,Other Rotary Screw Traps
2021-06-18,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-18,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-19,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-19,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-19,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-19,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-19,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-19,Sac Trawls,0,Other Rotary Screw Traps
2021-06-19,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-19,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-20,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-20,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-20,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-20,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-20,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-20,Sac Trawls,0,Other Rotary Screw Traps
2021-06-20,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-20,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-21,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-21,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-21,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-21,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-21,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-21,Sac Trawls,0,Other Rotary Screw Traps
2021-06-21,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-21,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-22,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-22,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-22,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-22,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-22,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-22,Sac Trawls,0,Other Rotary Screw Traps
2021-06-22,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-22,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-23,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-23,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-23,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-23,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-23,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-23,Sac Trawls,0,Other Rotary Screw Traps
2021-06-23,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-23,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-24,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-24,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-24,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-24,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-24,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-24,Sac Trawls,0,Other Rotary Screw Traps
2021-06-24,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-24,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-25,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-25,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-25,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-25,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-25,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-25,Sac Trawls,0,Other Rotary Screw Traps
2021-06-25,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-25,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-26,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-26,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-26,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-26,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-26,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-26,Sac Trawls,0,Other Rotary Screw Traps
2021-06-26,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-26,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-27,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-27,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-27,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-27,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-27,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-27,Sac Trawls,0,Other Rotary Screw Traps
2021-06-27,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-27,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-28,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-28,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-28,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-28,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-28,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-28,Sac Trawls,0,Other Rotary Screw Traps
2021-06-28,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-28,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-29,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-29,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-29,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-29,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-29,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-29,Sac Trawls,0,Other Rotary Screw Traps
2021-06-29,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-29,RBDD Daily,0,Red Bluff Diversion Dam
2021-06-30,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-06-30,Knights Landing RST,0,Other Rotary Screw Traps
2021-06-30,Lower Feather RST,0,Other Rotary Screw Traps
2021-06-30,Lower Sac RST,0,Other Rotary Screw Traps
2021-06-30,Sac Beach Seines,0,Other Rotary Screw Traps
2021-06-30,Sac Trawls,0,Other Rotary Screw Traps
2021-06-30,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-06-30,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-01,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-01,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-01,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-01,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-01,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-01,Sac Trawls,0,Other Rotary Screw Traps
2021-07-01,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-01,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-02,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-02,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-02,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-02,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-02,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-02,Sac Trawls,0,Other Rotary Screw Traps
2021-07-02,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-02,RBDD Daily,44,Red Bluff Diversion Dam
2021-07-03,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-03,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-03,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-03,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-03,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-03,Sac Trawls,0,Other Rotary Screw Traps
2021-07-03,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-03,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-04,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-04,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-04,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-04,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-04,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-04,Sac Trawls,0,Other Rotary Screw Traps
2021-07-04,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-04,RBDD Daily,104,Red Bluff Diversion Dam
2021-07-05,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-05,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-05,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-05,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-05,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-05,Sac Trawls,0,Other Rotary Screw Traps
2021-07-05,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-05,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-06,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-06,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-06,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-06,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-06,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-06,Sac Trawls,0,Other Rotary Screw Traps
2021-07-06,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-06,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-07,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-07,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-07,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-07,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-07,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-07,Sac Trawls,0,Other Rotary Screw Traps
2021-07-07,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-07,RBDD Daily,192,Red Bluff Diversion Dam
2021-07-08,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-08,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-08,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-08,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-08,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-08,Sac Trawls,0,Other Rotary Screw Traps
2021-07-08,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-08,RBDD Daily,235,Red Bluff Diversion Dam
2021-07-09,Tisdale Weir RST,0,Other Rotary Screw Traps
