Date,Facility,nfish,Expanded.Salvage,Loss,cumLoss
2021-10-01,CVP,0,0,0,0
2021-10-01,SWP,0,0,0,0
2021-10-02,CVP,0,0,0,0
2021-10-02,SWP,0,0,0,0
2021-10-03,CVP,0,0,0,0
2021-10-03,SWP,0,0,0,0
2021-10-04,CVP,0,0,0,0
2021-10-04,SWP,0,0,0,0
2021-10-05,CVP,0,0,0,0
2021-10-05,SWP,0,0,0,0
2021-10-06,CVP,0,0,0,0
2021-10-06,SWP,0,0,0,0
2021-10-07,CVP,0,0,0,0
2021-10-07,SWP,0,0,0,0
2021-10-08,CVP,0,0,0,0
2021-10-08,SWP,0,0,0,0
2021-10-09,CVP,0,0,0,0
2021-10-09,SWP,0,0,0,0
2021-10-10,CVP,0,0,0,0
2021-10-10,SWP,0,0,0,0
2021-10-11,CVP,0,0,0,0
2021-10-11,SWP,0,0,0,0
2021-10-12,CVP,0,0,0,0
2021-10-12,SWP,0,0,0,0
2021-10-13,CVP,0,0,0,0
2021-10-13,SWP,0,0,0,0
2021-10-14,CVP,0,0,0,0
2021-10-14,SWP,0,0,0,0
2021-10-15,CVP,0,0,0,0
2021-10-15,SWP,0,0,0,0
2021-10-16,CVP,0,0,0,0
2021-10-16,SWP,0,0,0,0
2021-10-17,CVP,0,0,0,0
2021-10-17,SWP,0,0,0,0
2021-10-18,CVP,0,0,0,0
2021-10-18,SWP,0,0,0,0
2021-10-19,CVP,0,0,0,0
2021-10-19,SWP,0,0,0,0
2021-10-20,CVP,0,0,0,0
2021-10-20,SWP,0,0,0,0
2021-10-21,CVP,0,0,0,0
2021-10-21,SWP,0,0,0,0
2021-10-22,CVP,0,0,0,0
2021-10-22,SWP,0,0,0,0
2021-10-23,CVP,0,0,0,0
2021-10-23,SWP,0,0,0,0
2021-10-24,CVP,0,0,0,0
2021-10-24,SWP,0,0,0,0
2021-10-25,CVP,0,0,0,0
2021-10-25,SWP,0,0,0,0
2021-10-26,CVP,0,0,0,0
2021-10-26,SWP,0,0,0,0
2021-10-27,CVP,0,0,0,0
