brood_year,value,component,origin,JPE_letter_date,footnote,references_contributors,lower_95_CI,upper_95_CI
1992,246157,Total natural production entering the Delta,Natural,1993-02-09,NA,NA,NA,NA
1992,1092,Total Sacramento River escapement,Natural,1993-02-09,NA,"CDFW, USFWS",NA,NA
1992,546,Adult female estimate,Natural,1993-02-09,NA,"CDFW, USFWS",NA,NA
1992,519,AFE minus pre-spawn mortality,Natural,1993-02-09,NA,"CDFW, USFWS",NA,NA
1992,3353,Average fecundity,Natural,1993-02-09,NA,LSNFH,NA,NA
1992,1668859,Total eggs,Natural,1993-02-09,NA,"CDFW, LSNFH, USFWS",NA,NA
1992,0.25,Estimated egg-to-fry survival rate,Natural,1993-02-09,NA,"CDFW, LSNFH, USFWS",NA,NA
1992,0.59,Fry-to-smolt survival,Natural,1993-02-09,NA,NA,NA,NA
1992,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1992,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1992,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1992,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1992,27000,LSNFH Hatchery release,Hatchery,1993-02-09,NA,LSNFH,NA,NA
1992,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1992,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1992,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1992,NA,Natural Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1992,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1992,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1992,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1992,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1993,66536,Total natural production entering the Delta,Natural,1993-10-01,NA,NA,NA,NA
1993,271,Total Sacramento River escapement,Natural,1993-10-01,NA,"CDFW, USFWS",NA,NA
1993,135,Adult female estimate,Natural,1993-10-01,NA,"CDFW, USFWS",NA,NA
1993,129,AFE minus pre-spawn mortality,Natural,1993-10-01,NA,"CDFW, USFWS",NA,NA
1993,3500,Average fecundity,Natural,1993-10-01,NA,LSNFH,NA,NA
1993,451092,Total eggs,Natural,1993-10-01,NA,"CDFW, LSNFH, USFWS",NA,NA
1993,0.25,Estimated egg-to-fry survival rate,Natural,1993-10-01,NA,"CDFW, LSNFH, USFWS",NA,NA
1993,0.59,Fry-to-smolt survival,Natural,1993-10-01,NA,NA,NA,NA
1993,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1993,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1993,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1993,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1993,23500,LSNFH Hatchery release,Hatchery,1993-10-01,NA,LSNFH,NA,NA
1993,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1993,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1993,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1993,NA,Natural Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1993,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1993,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1993,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1993,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1994,31491,Total natural production entering the Delta,Natural,1995-02-21,NA,NA,NA,NA
1994,129,Total Sacramento River escapement,Natural,1995-02-21,NA,"CDFW, USFWS",NA,NA
1994,64,Adult female estimate,Natural,1995-02-21,NA,"CDFW, USFWS",NA,NA
1994,61,AFE minus pre-spawn mortality,Natural,1995-02-21,NA,"CDFW, USFWS",NA,NA
1994,3500,Average fecundity,Natural,1995-02-21,NA,LSNFH,NA,NA
1994,213500,Total eggs,Natural,1995-02-21,NA,"CDFW, LSNFH, USFWS",NA,NA
1994,0.25,Estimated egg-to-fry survival rate,Natural,1995-02-21,NA,"CDFW, LSNFH, USFWS",NA,NA
1994,0.59,Fry-to-smolt survival,Natural,1995-02-21,NA,NA,NA,NA
1994,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1994,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1994,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1994,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1994,43000,LSNFH Hatchery release,Hatchery,1995-02-21,NA,LSNFH,NA,NA
1994,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1994,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1994,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1994,NA,Natural Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1994,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
