measurementdate,reddid,yearrun,year,run,borndate,estimatedemergence,borndepth,status,bornflowkwk,bornflowkes,location,riverlocationid,riversection,comments,measurementdepth,measurementkwk,measurementkes,idnum
2013-08-01,001-13-W,13-W,2013,W,2013-08-01,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,2708
2013-08-01,002-13-W,13-W,2013,W,2013-08-01,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,2709
2013-08-01,003-13-W,13-W,2013,W,2013-08-01,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,2710
2013-08-01,004-13-W,13-W,2013,W,2013-08-01,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,2711
2013-08-13,007-13-W,13-W,2013,W,2013-08-13,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,780
2013-08-13,008-13-W,13-W,2013,W,2013-08-13,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,Top side channel below bonnyview; depth not writtemn,NA,NA,NA,781
2013-08-13,009-13-W,13-W,2013,W,2013-08-13,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,782
2013-08-13,010-13-W,13-W,2013,W,2013-08-13,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,783
2013-08-13,011-13-W,13-W,2013,W,2013-08-13,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,784
2013-08-26,026-13-W,13-W,2013,W,2013-08-26,2013-11-20,NA,DEWATERED,8710,7959,Sec 2; RL Market Street,2,Hwy 44 Brg to A.C.I.D Dam,; depth not writtemn,NA,8710,7959,786
2013-08-26,027-13-W,13-W,2013,W,2013-08-26,2013-11-20,NA,DEWATERED,8710,7959,Sec 2; RL Market Street,2,Hwy 44 Brg to A.C.I.D Dam,; depth not writtemn,NA,8710,7959,787
2013-08-26,029-13-W,13-W,2013,W,2013-08-26,2013-11-20,NA,DEWATERED,8710,7959,Sec 2; RL Market Street,2,Hwy 44 Brg to A.C.I.D Dam,depth not written,NA,8710,7959,789
2013-08-26,030-13-W,13-W,2013,W,2013-08-26,2013-11-20,NA,DEWATERED,8710,7959,Sec 2; RL Market Street,2,Hwy 44 Brg to A.C.I.D Dam,; depth not writtemn,NA,8710,7959,790
2013-08-26,034-13-W,13-W,2013,W,2013-08-26,2013-11-20,NA,DEWATERED,8740,7941,Sec 2; RL Market Street,2,Hwy 44 Brg to A.C.I.D Dam,; depth not writtemn,NA,8740,7941,794
2013-08-26,021-13-W,13-W,2013,W,2013-08-26,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,800
2013-08-26,022-13-W,13-W,2013,W,2013-08-26,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,801
2013-08-26,023-13-W,13-W,2013,W,2013-08-26,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,802
2013-08-26,024-13-W,13-W,2013,W,2013-08-26,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,803
2013-08-26,025-13-W,13-W,2013,W,2013-08-26,NA,NA,DEWATERED,NA,NA,NO LOCATION DATA,NA,NA,time not written; time is approximated; depth not writtemn,NA,NA,NA,785
