Date,Year,Month,Facility,Adipose.Clip,Length,nfish,Expanded.Salvage,Loss,LAD.Race,DNA.Race,X14.day.OMRI
1993-12-08,1993,12,SWP,Clipped,122,1,4,17.04,Winter,,NA
1993-12-10,1993,12,SWP,Clipped,129,1,6,26.81,Winter,,NA
1993-12-10,1993,12,CVP,Clipped,128,1,12,5.66,Winter,,NA
1993-12-12,1993,12,SWP,Unclipped,123,1,4,17.13,Winter,,NA
1993-12-12,1993,12,SWP,Unclipped,124,1,4,17.13,Winter,,NA
1993-12-13,1993,12,SWP,Unclipped,131,1,4,19.27,Winter,,NA
1993-12-13,1993,12,SWP,Unclipped,129,1,4,16.98,Winter,,NA
1993-12-13,1993,12,SWP,Clipped,121,1,4,17.03,Winter,,NA
1993-12-13,1993,12,SWP,Clipped,128,1,6,25.84,Winter,,NA
1993-12-14,1993,12,SWP,Unclipped,130,1,12,53.41,Winter,,NA
1993-12-15,1993,12,SWP,Clipped,129,1,6,25.87,Winter,,NA
1993-12-18,1993,12,SWP,Clipped,113,1,3,13.05,Winter,,NA
1993-12-19,1993,12,SWP,Unclipped,109,1,6,26.3,Winter,,NA
1993-12-20,1993,12,SWP,Unclipped,134,1,6,26.22,Winter,,NA
1993-12-20,1993,12,SWP,Unclipped,119,1,6,26.56,Winter,,NA
1993-12-21,1993,12,SWP,Unclipped,124,1,6,26.67,Winter,,NA
1993-12-21,1993,12,SWP,Unclipped,131,1,6,25.42,Winter,,NA
1993-12-21,1993,12,CVP,Unclipped,121,1,12,5.4,Winter,,NA
1993-12-21,1993,12,SWP,Unclipped,137,1,4,17.65,Winter,,NA
1993-12-21,1993,12,SWP,Unclipped,129,1,3,12.77,Winter,,NA
1993-12-21,1993,12,SWP,Unclipped,137,1,3,12.77,Winter,,NA
1993-12-22,1993,12,SWP,Unclipped,139,1,2,8.66,Winter,,NA
1993-12-22,1993,12,SWP,Unclipped,136,1,4,17.68,Winter,,NA
1993-12-22,1993,12,SWP,Unclipped,132,1,6,26.48,Winter,,NA
1993-12-22,1993,12,SWP,Unclipped,128,1,6,25.34,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,125,1,12,53.04,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,124,1,4,17.68,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,117,1,6,26.52,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,112,1,4,17.16,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,120,1,4,17.16,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,123,1,4,17.16,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,135,1,4,17.16,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,137,1,4,17.16,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,140,1,4,17.16,Winter,,NA
1993-12-23,1993,12,SWP,Unclipped,119,1,4,16.97,Winter,,NA
1993-12-24,1993,12,SWP,Unclipped,122,1,12,53.04,Winter,,NA
1993-12-24,1993,12,SWP,Unclipped,124,1,4,17.46,Winter,,NA
1993-12-24,1993,12,SWP,Unclipped,123,1,4,17.58,Winter,,NA
1993-12-24,1993,12,SWP,Unclipped,117,1,6,26.59,Winter,,NA
1993-12-24,1993,12,SWP,Unclipped,118,1,8,35.73,Winter,,NA
1993-12-24,1993,12,SWP,Unclipped,126,1,8,35.73,Winter,,NA
1993-12-24,1993,12,SWP,Clipped,129,1,8,35.73,Winter,,NA
1993-12-24,1993,12,SWP,Unclipped,135,1,8,35.73,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,104,1,6,26.41,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,125,1,6,26.41,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,118,1,2,8.73,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,124,1,2,8.73,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,140,1,2,8.73,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,115,1,4,17.7,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,119,1,4,17.7,Winter,,NA
1993-12-25,1993,12,CVP,Unclipped,144,1,12,6.18,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,125,1,6,26.59,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,125,1,4,17.16,Winter,,NA
1993-12-25,1993,12,SWP,Unclipped,143,1,4,17.16,Winter,,NA
