water_year,first_passage_date,x5_percent_passage_date,x10_percent_passage_date,x25_percent_passage_date,x50_percent_passage_date,x75_percent_passage_date,x90_percent_passage_date,x95_percent_passage_date,last_passage_date,duration_middle80_percent_days,duration_middle50_percent_days,duration_middle90_percent_days,expanded_salvage,today_10_1_percent,sacramento_valley_reconstructed_water_year_hci_value,sacramento_valley_reconstructed_water_year_hci_classification,Survey
Average (2013 - 2022),01/11,01/16,01/19,01/30,02/19,03/12,03/23,03/29,04/13,63.7,42.4,73.6,118.5,20.0%,NA,NA,Salvage
Median (2013 - 2022),12/28,12/31,01/05,01/21,02/26,03/20,03/31,04/04,04/17,73.5,32.5,82,80,100.0%,NA,NA,Salvage
2022,12/19/2021,12/19/2021,12/25/2021,12/31/2021,01/09/2022,03/29/2022,04/12/2022,04/27/2022,04/27/2022,110,90,131,41,0.0%,4.55,Critical,Salvage
2021,03/08/2021,03/08/2021,03/08/2021,03/08/2021,03/08/2021,03/08/2021,03/09/2021,03/09/2021,03/09/2021,2,1,2,5,0.0%,3.8,Critical,Salvage
2020,01/20/2020,01/22/2020,01/28/2020,03/08/2020,03/18/2020,03/29/2020,04/05/2020,04/07/2020,04/30/2020,69,22,77,107,100.0%,6.12,Dry,Salvage
2019,12/29/2018,01/02/2019,01/06/2019,01/29/2019,02/16/2019,03/06/2019,03/28/2019,04/04/2019,04/20/2019,82,37,93,204,0.0%,10.34,Wet,Salvage
2018,02/05/2018,03/01/2018,03/06/2018,03/22/2018,03/25/2018,03/29/2018,04/03/2018,04/05/2018,05/15/2018,29,8,36,237,0.0%,7.14,Below Normal,Salvage
2017,12/20/2016,12/20/2016,12/20/2016,12/27/2016,02/14/2017,03/29/2017,04/05/2017,04/24/2017,04/24/2017,107,93,126,40,0.0%,14.14,Wet,Salvage
2016,12/28/2015,12/28/2015,01/05/2016,01/14/2016,01/28/2016,02/22/2016,03/22/2016,03/22/2016,03/22/2016,78,40,87,36,100.0%,6.71,Below Normal,Salvage
2015,12/24/2014,12/24/2014,12/24/2014,12/26/2014,01/04/2015,01/21/2015,01/21/2015,02/03/2015,03/31/2015,30,28,43,53,0.0%,4,Critical,Salvage
2014,03/03/2014,03/05/2014,03/06/2014,03/09/2014,03/15/2014,03/20/2014,04/04/2014,04/10/2014,04/14/2014,30,12,37,191.5,0.0%,4.07,Critical,Salvage
2013,12/04/2012,12/15/2012,12/16/2012,12/19/2012,03/09/2013,03/21/2013,03/25/2013,03/28/2013,04/06/2013,100,93,104,270.5,0.0%,5.83,Dry,Salvage
Average (2020 - 2022),01/24,01/25,01/27,02/13,02/19,03/08,03/29,03/30,04/07,62.3,23.7,65,47,33.3%,NA,NA,Salvage DNA
Median (2020 - 2022),01/20,01/22,01/28,03/08,03/08,03/08,04/06,04/08,04/12,69,22,77,33,100.0%,NA,NA,Salvage DNA
2022,12/19/2021,12/19/2021,12/19/2021,12/31/2021,01/07/2022,02/15/2022,04/12/2022,04/12/2022,04/12/2022,116,48,116,33,0.0%,4.55,Critical,Salvage DNA
2021,03/08/2021,03/08/2021,03/08/2021,03/08/2021,03/08/2021,03/08/2021,03/09/2021,03/09/2021,03/09/2021,2,1,2,5,0.0%,3.8,Critical,Salvage DNA
2020,01/20/2020,01/22/2020,01/28/2020,03/08/2020,03/18/2020,03/29/2020,04/05/2020,04/07/2020,04/30/2020,69,22,77,103,100.0%,6.12,Dry,Salvage DNA
