Order,Region,Year_type,Month,Month_fac,meanCPUE,geometry
Amphipoda,Far West,2021,12,Dec,0.19,"c(577507.93578854, 4211113.97001856)"
Amphipoda,North,2021,12,Dec,1.65,"c(610669.538617929, 613779.556148341, 615345.198852705, 4215966.77228402, 4220028.52514462, 4223061.34937309)"
Amphipoda,South,2021,12,Dec,2.82,"c(616910.644414582, 624948.632891888, 625396.04777301, 638081.114670928, 642107.768394239, 4217441.26619409, 4204859.2928038, 4215409.93259503, 4211822.36366856, 4204645.66367771)"
Amphipoda,West,2021,12,Dec,2.89,"c(583446.936826306, 583519.135936806, 585770.343803212, 588092.656556216, 595957.666456988, 602732.024567753, 605010.003540227, 612260.437664603, 4226277.74046912, 4219249.62470922, 4225161.16941565, 4212948.10835528, 4211464.39753987, 4213612.17941339, 4208955.75306207, 4209915.66907889)"
Amphipoda,NA,2021,12,Dec,0.3,"c(551653.42046035, 555216.783936818, 4213837.49124969, 4209392.50601384)"
Mysida,Far West,2021,12,Dec,1.73,"c(577507.93578854, 4211113.97001856)"
Mysida,North,2021,12,Dec,16.060000000000002,"c(610669.538617929, 613779.556148341, 615345.198852705, 4215966.77228402, 4220028.52514462, 4223061.34937309)"
Mysida,South,2021,12,Dec,0.3,"c(616910.644414582, 624948.632891888, 625396.04777301, 638081.114670928, 642107.768394239, 4217441.26619409, 4204859.2928038, 4215409.93259503, 4211822.36366856, 4204645.66367771)"
Mysida,West,2021,12,Dec,29.05,"c(583446.936826306, 583519.135936806, 585770.343803212, 588092.656556216, 595957.666456988, 602732.024567753, 605010.003540227, 612260.437664603, 4226277.74046912, 4219249.62470922, 4225161.16941565, 4212948.10835528, 4211464.39753987, 4213612.17941339, 4208955.75306207, 4209915.66907889)"
Mysida,NA,2021,12,Dec,0.64,"c(551653.42046035, 555216.783936818, 4213837.49124969, 4209392.50601384)"
Amphipoda,Far West,Ten-year Average,1,Jan,2.346,"c(562384.928874748, 569572.054279143, 571542.490003027, 573335.780356777, 573867.743707187, 577507.93578854, 4212464.52180504, 4212800.0907008, 4212608.53075981, 4210272.00964728, 4209385.76163229, 4211113.97001856)"
Amphipoda,Far West,Ten-year Average,2,Feb,3.459,"c(562384.928874748, 566430.475186298, 569572.054279143, 573867.743707187, 577507.93578854, 4212464.52180504, 4213319.82463151, 4212800.0907008, 4209385.76163229, 4211113.97001856)"
